./gridbenchmark --no-verify --size 256x256x64 --threads 1x1x1 32x1x1 64x1x1 128x1x1 192x1x1 256x1x1 320x1x1 384x1x1 448x1x1 512x1x1 32x1x16 8x1x64 all 
Benchmark                   , Domain size,,, Blocks     ,,, Threads    ,,, Total execution time         ,,, Kernel-only execution time     
                            ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,   Minimum,   Maximum,   Average,   Minimum,   Maximum
hdiff-regular-shared-kloop  , 256, 256,  64, 256, 256,   1,   1,   1,   1,  0.061630,  0.060465,  0.068147,  0.061629,  0.060465,  0.068147
hdiff-regular-shared-kloop  , 256, 256,  64,   8, 256,   1,  32,   1,   1,  0.002142,  0.002085,  0.002572,  0.002142,  0.002085,  0.002572
hdiff-regular-shared-kloop  , 256, 256,  64,   4, 256,   1,  64,   1,   1,  0.001838,  0.001801,  0.002095,  0.001837,  0.001801,  0.002095
hdiff-regular-shared-kloop  , 256, 256,  64,   2, 256,   1, 128,   1,   1,  0.001660,  0.001651,  0.001714,  0.001660,  0.001651,  0.001714
hdiff-regular-shared-kloop  , 256, 256,  64,   2, 256,   1, 192,   1,   1,  0.001914,  0.001855,  0.001978,  0.001914,  0.001855,  0.001978
hdiff-regular-shared-kloop  , 256, 256,  64,   1, 256,   1, 256,   1,   1,  0.002169,  0.002125,  0.002632,  0.002168,  0.002125,  0.002632
hdiff-regular-shared-kloop  , 256, 256,  64,   1, 256,   1, 320,   1,   1,  0.002370,  0.002242,  0.002493,  0.002369,  0.002242,  0.002493
hdiff-regular-shared-kloop  , 256, 256,  64,   1, 256,   1, 384,   1,   1,  0.002404,  0.002263,  0.003320,  0.002403,  0.002263,  0.003320
hdiff-regular-shared-kloop  , 256, 256,  64,   1, 256,   1, 448,   1,   1,  0.002415,  0.002348,  0.002606,  0.002414,  0.002348,  0.002606
hdiff-regular-shared-kloop  , 256, 256,  64,   1, 256,   1, 512,   1,   1,  0.002350,  0.002339,  0.002364,  0.002349,  0.002339,  0.002364
hdiff-regular-seq           , 256, 256,  64, 256, 256,  64,   1,   1,   1,  0.036942,  0.035762,  0.041685,  0.036941,  0.035762,  0.041685
hdiff-regular-seq           , 256, 256,  64,   8, 256,  64,  32,   1,   1,  0.003039,  0.002997,  0.003792,  0.003039,  0.002997,  0.003792
hdiff-regular-seq           , 256, 256,  64,   4, 256,  64,  64,   1,   1,  0.003044,  0.003041,  0.003061,  0.003044,  0.003041,  0.003061
hdiff-regular-seq           , 256, 256,  64,   2, 256,  64, 128,   1,   1,  0.003089,  0.003032,  0.004106,  0.003089,  0.003032,  0.004106
hdiff-regular-seq           , 256, 256,  64,   2, 256,  64, 192,   1,   1,  0.003039,  0.003024,  0.003268,  0.003039,  0.003024,  0.003268
hdiff-regular-seq           , 256, 256,  64,   1, 256,  64, 256,   1,   1,  0.003098,  0.003024,  0.004436,  0.003098,  0.003024,  0.004436
hdiff-regular-seq           , 256, 256,  64,   1, 256,  64, 320,   1,   1,  0.003058,  0.003013,  0.003853,  0.003057,  0.003013,  0.003853
