,stencil,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
114,laplap,naive,False,False,False,False,64,64,64,60,2,8,256,1,32,8,53375.0,53331.0,52340.0,54290.0
115,laplap,naive,False,False,False,False,64,64,64,30,30,1,256,2,2,64,31620.0,31731.0,31300.0,32390.0
116,laplap,naive,False,False,False,False,64,64,64,30,15,2,256,2,4,32,30905.0,31188.0,29890.0,37340.0
117,laplap,naive,False,False,False,False,64,64,64,30,8,4,256,2,8,16,31135.0,31564.0,30660.0,38410.0
118,laplap,naive,False,False,False,False,64,64,64,30,4,8,256,2,16,8,31150.0,31076.0,30400.0,31910.0
119,laplap,naive,False,False,False,False,64,64,64,30,2,16,256,2,32,4,30660.0,30595.0,29860.0,31660.0
120,laplap,naive,False,False,False,False,64,64,64,15,60,1,256,4,1,64,24240.0,24572.0,23910.0,26340.0
121,laplap,naive,False,False,False,False,64,64,64,15,30,2,256,4,2,32,21820.0,22040.0,21280.0,27520.0
122,laplap,naive,False,False,False,False,64,64,64,15,15,4,256,4,4,16,21865.0,21788.0,21260.0,22360.0
123,laplap,naive,False,False,False,False,64,64,64,15,8,8,256,4,8,8,21505.0,21490.0,21090.0,22080.0
124,laplap,naive,False,False,False,False,64,64,64,15,4,16,256,4,16,4,21135.0,21218.0,20800.0,22420.0
125,laplap,naive,False,False,False,False,64,64,64,15,2,32,256,4,32,2,21585.0,21619.0,21030.0,22480.0
126,laplap,naive,False,False,False,False,64,64,64,8,60,2,256,8,1,32,20790.0,21296.0,20050.0,30160.0
127,laplap,naive,False,False,False,False,64,64,64,8,30,4,256,8,2,16,18315.0,18289.0,17700.0,18910.0
128,laplap,naive,False,False,False,False,64,64,64,8,15,8,256,8,4,8,17755.0,17808.0,17380.0,18610.0
129,laplap,naive,False,False,False,False,64,64,64,8,8,16,256,8,8,4,17680.0,18127.0,17180.0,26740.0
130,laplap,naive,False,False,False,False,64,64,64,8,4,32,256,8,16,2,17685.0,17660.0,17170.0,18470.0
131,laplap,naive,False,False,False,False,64,64,64,8,2,64,256,8,32,1,18295.0,18365.0,17120.0,19710.0
132,laplap,naive,False,False,False,False,64,64,64,4,60,4,256,16,1,16,18180.0,18056.0,17210.0,19820.0
133,laplap,naive,False,False,False,False,64,64,64,4,30,8,256,16,2,8,15530.0,15456.0,15020.0,15970.0
134,laplap,naive,False,False,False,False,64,64,64,4,15,16,256,16,4,4,15245.0,15298.0,14830.0,16020.0
135,laplap,naive,False,False,False,False,64,64,64,4,8,32,256,16,8,2,14920.0,14914.0,14480.0,15550.0
136,laplap,naive,False,False,False,False,64,64,64,4,4,64,256,16,16,1,14820.0,14834.0,14430.0,15500.0
137,laplap,naive,False,False,False,False,64,64,64,2,60,8,256,32,1,8,16835.0,17336.0,16480.0,24830.0
138,laplap,naive,False,False,False,False,64,64,64,2,30,16,256,32,2,4,14970.0,15300.0,14510.0,21220.0
139,laplap,naive,False,False,False,False,64,64,64,2,15,32,256,32,4,2,14655.0,14711.0,14460.0,15270.0
140,laplap,naive,False,False,False,False,64,64,64,2,8,64,256,32,8,1,14945.0,15334.0,14470.0,16970.0
141,laplap,naive,False,False,False,False,64,64,64,60,8,1,512,1,8,64,56680.0,56950.0,55400.0,59260.0
142,laplap,naive,False,False,False,False,64,64,64,60,4,2,512,1,16,32,57365.0,57412.0,54210.0,60750.0
143,laplap,naive,False,False,False,False,64,64,64,60,2,4,512,1,32,16,57800.0,58318.0,56410.0,64290.0
144,laplap,naive,False,False,False,False,64,64,64,30,15,1,512,2,4,64,32880.0,33014.0,32190.0,34900.0
145,laplap,naive,False,False,False,False,64,64,64,30,8,2,512,2,8,32,33365.0,33378.0,32750.0,34350.0
146,laplap,naive,False,False,False,False,64,64,64,30,4,4,512,2,16,16,33925.0,34053.0,32640.0,40070.0
147,laplap,naive,False,False,False,False,64,64,64,30,2,8,512,2,32,8,33985.0,33926.0,32690.0,35050.0
148,laplap,naive,False,False,False,False,64,64,64,15,30,1,512,4,2,64,21190.0,21258.0,20780.0,22040.0
149,laplap,naive,False,False,False,False,64,64,64,15,15,2,512,4,4,32,22540.0,22376.0,21310.0,23650.0
150,laplap,naive,False,False,False,False,64,64,64,15,8,4,512,4,8,16,21995.0,22111.0,21440.0,23980.0
151,laplap,naive,False,False,False,False,64,64,64,15,4,8,512,4,16,8,21900.0,22028.0,21550.0,22890.0
152,laplap,naive,False,False,False,False,64,64,64,15,2,16,512,4,32,4,23145.0,23044.0,21890.0,23980.0
153,laplap,naive,False,False,False,False,64,64,64,8,60,1,512,8,1,64,21300.0,21465.0,20440.0,26180.0
154,laplap,naive,False,False,False,False,64,64,64,8,30,2,512,8,2,32,17870.0,17883.0,17470.0,18630.0
155,laplap,naive,False,False,False,False,64,64,64,8,15,4,512,8,4,16,17595.0,17562.0,16970.0,18660.0
156,laplap,naive,False,False,False,False,64,64,64,8,8,8,512,8,8,8,17845.0,17949.0,17590.0,18650.0
157,laplap,naive,False,False,False,False,64,64,64,8,4,16,512,8,16,4,17965.0,18084.0,17620.0,19330.0
158,laplap,naive,False,False,False,False,64,64,64,8,2,32,512,8,32,2,18675.0,18752.0,17660.0,22800.0
159,laplap,naive,False,False,False,False,64,64,64,4,60,2,512,16,1,32,17155.0,17248.0,16970.0,18020.0
160,laplap,naive,False,False,False,False,64,64,64,4,30,4,512,16,2,16,15475.0,15535.0,15030.0,16890.0
161,laplap,naive,False,False,False,False,64,64,64,4,15,8,512,16,4,8,15210.0,15376.0,14580.0,16370.0
162,laplap,naive,False,False,False,False,64,64,64,4,8,16,512,16,8,4,15250.0,15528.0,14920.0,19370.0
163,laplap,naive,False,False,False,False,64,64,64,4,4,32,512,16,16,2,14695.0,14785.0,14420.0,15540.0
164,laplap,naive,False,False,False,False,64,64,64,4,2,64,512,16,32,1,15015.0,15032.0,14440.0,17060.0
165,laplap,naive,False,False,False,False,64,64,64,2,60,4,512,32,1,16,17415.0,17477.0,16960.0,18850.0
166,laplap,naive,False,False,False,False,64,64,64,2,30,8,512,32,2,8,15270.0,15392.0,14870.0,17700.0
167,laplap,naive,False,False,False,False,64,64,64,2,15,16,512,32,4,4,14280.0,14737.0,14060.0,21860.0
168,laplap,naive,False,False,False,False,64,64,64,2,8,32,512,32,8,2,14975.0,14882.0,14440.0,15460.0
169,laplap,naive,False,False,False,False,64,64,64,2,4,64,512,32,16,1,15065.0,15056.0,14550.0,15850.0
170,laplap,idxvar,False,False,False,False,64,64,64,60,60,64,1,1,1,1,413080.0,413696.0,412650.0,416630.0
171,laplap,idxvar,False,False,False,False,64,64,64,60,60,32,2,1,1,2,212520.0,212493.0,211900.0,213130.0
172,laplap,idxvar,False,False,False,False,64,64,64,60,30,64,2,1,2,1,212340.0,212547.0,211640.0,217300.0
173,laplap,idxvar,False,False,False,False,64,64,64,30,60,64,2,2,1,1,212685.0,212842.0,211870.0,217310.0
174,laplap,idxvar,False,False,False,False,64,64,64,60,60,16,4,1,1,4,112015.0,112172.0,111660.0,114080.0
175,laplap,idxvar,False,False,False,False,64,64,64,60,30,32,4,1,2,2,111860.0,112064.0,111390.0,116300.0
176,laplap,idxvar,False,False,False,False,64,64,64,60,15,64,4,1,4,1,112120.0,112706.0,111380.0,116040.0
177,laplap,idxvar,False,False,False,False,64,64,64,30,60,32,4,2,1,2,112880.0,113121.0,111530.0,114880.0
178,laplap,idxvar,False,False,False,False,64,64,64,30,30,64,4,2,2,1,111920.0,111898.0,111390.0,112550.0
179,laplap,idxvar,False,False,False,False,64,64,64,15,60,64,4,4,1,1,111375.0,111403.0,110930.0,112460.0
180,laplap,idxvar,False,False,False,False,64,64,64,60,60,8,8,1,1,8,62395.0,62434.0,61890.0,62980.0
181,laplap,idxvar,False,False,False,False,64,64,64,60,30,16,8,1,2,4,62180.0,62189.0,61700.0,63830.0
182,laplap,idxvar,False,False,False,False,64,64,64,60,15,32,8,1,4,2,61930.0,61960.0,61480.0,62750.0
183,laplap,idxvar,False,False,False,False,64,64,64,60,8,64,8,1,8,1,65180.0,65380.0,64860.0,65920.0
184,laplap,idxvar,False,False,False,False,64,64,64,30,60,16,8,2,1,4,62570.0,63032.0,61490.0,68860.0
185,laplap,idxvar,False,False,False,False,64,64,64,30,30,32,8,2,2,2,62010.0,62007.0,61420.0,62830.0
186,laplap,idxvar,False,False,False,False,64,64,64,30,15,64,8,2,4,1,61500.0,61642.0,61280.0,62320.0
187,laplap,idxvar,False,False,False,False,64,64,64,15,60,32,8,4,1,2,61120.0,61415.0,60690.0,65400.0
188,laplap,idxvar,False,False,False,False,64,64,64,15,30,64,8,4,2,1,61770.0,61746.0,61220.0,62210.0
189,laplap,idxvar,False,False,False,False,64,64,64,8,60,64,8,8,1,1,64965.0,65028.0,64550.0,65790.0
190,laplap,idxvar,False,False,False,False,64,64,64,60,60,4,16,1,1,16,53885.0,53859.0,53270.0,54870.0
191,laplap,idxvar,False,False,False,False,64,64,64,60,30,8,16,1,2,8,47620.0,47672.0,47100.0,48660.0
192,laplap,idxvar,False,False,False,False,64,64,64,60,15,16,16,1,4,4,46890.0,46902.0,46480.0,47390.0
193,laplap,idxvar,False,False,False,False,64,64,64,60,8,32,16,1,8,2,47280.0,47372.0,46950.0,48360.0
194,laplap,idxvar,False,False,False,False,64,64,64,60,4,64,16,1,16,1,48130.0,48065.0,46970.0,52510.0
195,laplap,idxvar,False,False,False,False,64,64,64,30,60,8,16,2,1,8,37300.0,37410.0,36940.0,38210.0
196,laplap,idxvar,False,False,False,False,64,64,64,30,30,16,16,2,2,4,36890.0,36980.0,36480.0,37790.0
197,laplap,idxvar,False,False,False,False,64,64,64,30,15,32,16,2,4,2,36925.0,37181.0,36530.0,40730.0
198,laplap,idxvar,False,False,False,False,64,64,64,30,8,64,16,2,8,1,38495.0,38584.0,38080.0,39210.0
199,laplap,idxvar,False,False,False,False,64,64,64,15,60,16,16,4,1,4,36765.0,36878.0,36310.0,38140.0
200,laplap,idxvar,False,False,False,False,64,64,64,15,30,32,16,4,2,2,36690.0,36778.0,36260.0,37870.0
201,laplap,idxvar,False,False,False,False,64,64,64,15,15,64,16,4,4,1,36615.0,37081.0,36220.0,44860.0
202,laplap,idxvar,False,False,False,False,64,64,64,8,60,32,16,8,1,2,38230.0,38293.0,37810.0,38960.0
203,laplap,idxvar,False,False,False,False,64,64,64,8,30,64,16,8,2,1,38145.0,38280.0,37730.0,39340.0
204,laplap,idxvar,False,False,False,False,64,64,64,4,60,64,16,16,1,1,38130.0,38180.0,37700.0,38780.0
205,laplap,idxvar,False,False,False,False,64,64,64,60,60,2,32,1,1,32,55175.0,55374.0,53990.0,59570.0
