./gridbenchmark --no-verify --single-prec --double-prec --print-runs --size 512x512x1 512x512x2 512x512x3 512x512x4 512x512x5 512x512x6 512x512x7 512x512x8 512x512x9 512x512x10 512x512x11 512x512x12 512x512x13 512x512x14 512x512x15 512x512x16 512x512x17 512x512x18 512x512x19 512x512x20 512x512x21 512x512x22 512x512x23 512x512x24 512x512x25 512x512x26 512x512x27 512x512x28 512x512x29 512x512x30 512x512x31 512x512x32 512x512x33 512x512x34 512x512x35 512x512x36 512x512x37 512x512x38 512x512x39 512x512x40 512x512x41 512x512x42 512x512x43 512x512x44 512x512x45 512x512x46 512x512x47 512x512x48 512x512x49 512x512x50 512x512x51 512x512x52 512x512x53 512x512x54 512x512x55 512x512x56 512x512x57 512x512x58 512x512x59 512x512x60 512x512x61 512x512x62 512x512x63 512x512x64 --threads 64x1x8 laplap-regular-idxvar laplap-unstr-idxvar laplap-unstr-idxvar -z laplap-unstr-idxvar -n laplap-unstr-idxvar -n -z laplap-unstr-idxvar -c laplap-unstr-idxvar -c -n laplap-unstr-idxvar -c -z laplap-unstr-idxvar -c -z -n laplap-unstr-idxvar-shared laplap-unstr-idxvar-kloop laplap-unstr-idxvar-kloop-sliced laplap-unstr-naive 
Benchmark                           , Precision, Domain size,,, Blocks     ,,, Threads    ,,, Kernel-only execution time                                                                                                                                                                                                                                            
                                    ,          ,   X,   Y,   Z,   X,   Y,   Z,   X,   Y,   Z,   Average,    Median,   Minimum,   Maximum, Run  1   , Run  2   , Run  3   , Run  4   , Run  5   , Run  6   , Run  7   , Run  8   , Run  9   , Run 10   , Run 11   , Run 12   , Run 13   , Run 14   , Run 15   , Run 16   , Run 17   , Run 18   , Run 19   , Run 20   
laplap-unstr-idxvar-comp            ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     32871,     31928,     30396,     43911,     32250,     32042,     31814,     32748,     32689,     32180,     31202,     31471,     32684,     43911,     31797,     31451,     30396,     31392,     30471,     32749,     31348,     42868,     30917,     31043
laplap-unstr-idxvar-comp-no-chase   ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     28085,     27940,     26869,     29233,     28169,     28171,     28553,     28475,     27912,     28017,     26869,     27520,     27505,     29233,     28735,     28390,     28361,     27600,     28280,     29094,     28341,     27693,     27700,     27087
laplap-unstr-idxvar-comp-z-curves-4 ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     32057,     32237,     30847,     33079,     31765,     32581,     32216,     31212,     30937,     32533,     32753,     30847,     31102,     32493,     33079,     31869,     32599,     31725,     31769,     32258,     31763,     32826,     32611,     32211
laplap-unstr-idxvar-comp-no-chase-z-curves-4,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     29738,     29712,     29155,     31285,     31285,     29597,     30089,     29726,     29399,     30069,     30113,     29342,     30025,     29207,     29698,     29239,     29155,     29166,     30033,     30486,     29205,     29259,     30054,     29603
laplap-unstr-idxvar-shared          ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     32819,     32724,     32009,     34113,     33032,     32379,     32365,     32415,     33195,     32009,     33050,     32349,     33052,     32755,     33502,     33294,     33048,     33204,     32248,     32974,     32301,     34113,     33010,     32079
laplap-unstr-idxvar-kloop           ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   1,     33366,     33321,     31946,     35358,     33183,     33275,     32873,     34911,     35358,     34145,     34827,     33367,     34148,     32306,     31946,     32315,     32605,     32215,     34026,     33665,     33178,     33533,     32274,     33178
laplap-unstr-idxvar-kloop-sliced    ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     36572,     36621,     34976,     38054,     38054,     36567,     37687,     35903,     36706,     35842,     36068,     36091,     37043,     37661,     37026,     36063,     36533,     36638,     37016,     36604,     37190,     34976,     35867,     35905
laplap-unstr-naive                  ,    single, 512, 512,   3,   8, 508,   1,  64,   1,   3,     40169,     40260,     39024,     41526,     40298,     41526,     39450,     40205,     40077,     40550,     40103,     39186,     39024,     39064,     40290,     40071,     40230,     40252,     40326,     41169,     40511,     41012,     40670,     39374
laplap-regular-idxvar               ,    double, 512, 512,   3,   8, 508,   1,  64,   1,   3,     30188,     29826,     27446,     37447,     32390,     30332,     29939,     28895,     29763,     28216,     37447,     27446,     29125,     29149,     30362,     29995,     29663,     30823,     29962,     31059,     29130,     29989,     30874,     29199
laplap-unstr-idxvar                 ,    double, 512, 512,   3,   8, 508,   1,  64,   1,   3,     43434,     43832,     39800,     45954,     43517,     44691,     42563,     44148,     43728,     44512,     44547,     41881,     45017,     44146,     44379,     41614,     44068,     45752,     45954,     44106,     43205,     40648,     39800,     40394
laplap-unstr-idxvar-z-curves-4      ,    double, 512, 512,   3,   8, 508,   1,  64,   1,   3,     41166,     41320,     38346,     43956,     39993,     43014,     40903,     41803,     40899,     42086,     42437,     39227,     40834,     43956,     43623,     40776,     39027,     39046,     43470,     43731,     41737,     38527,     38346,     39875
laplap-unstr-idxvar-no-chase        ,    double, 512, 512,   3,   8, 508,   1,  64,   1,   3,     52394,     52400,     49871,     53837,     53106,     53837,     52551,     51958,     51535,     51952,     53199,     49871,     52894,     50994,     53729,     52442,     52278,     52299,     52359,     52322,     51758,     52337,     53269,     53192
laplap-unstr-idxvar-no-chase-z-curves-4,    double, 512, 512,   3,   8, 508,   1,  64,   1,   3,     52461,     52234,     49958,     59033,     52894,     51699,     50272,     51638,     53001,     52837,     52350,     53667,     51791,     51788,     52442,     49958,     52028,     51845,     51005,     54223,     53570,     51054,     52118,     59033
laplap-unstr-idxvar-comp            ,    double, 512, 512,   3,   8, 508,   1,  64,   1,   3,     38728,     38326,     35656,     48317,     40320,     37515,     38580,     38637,     36743,     38245,     38427,     41162,     37502,     48317,     38516,     39030,     37363,     38136,     36476,     37841,     35656,     37635,     39003,     39450
laplap-unstr-idxvar-comp-no-chase   ,    double, 512, 512,   3,   8, 508,   1,  64,   1,   3,     37756,     37790,     35643,     39848,     37582,     37410,     37967,     39473,     39676,     39848,     36133,     36861,     38507,     39752,     37562,     37998,     38459,     35970,     38514,     35643,     36818,     35969,     36839,     38143
