,stencil,precision,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
85,laplap,single,idxvar,True,True,True,False,512,512,4,8,508,1,256,64,1,4,37544.0,37551.0,36704.0,38475.0
86,laplap,single,idxvar,True,True,True,True,512,512,4,8,508,1,256,64,1,4,36188.0,36216.0,35231.0,37210.0
87,laplap,single,idxvar-shared,True,False,False,False,512,512,4,8,508,1,256,64,1,4,37458.0,37617.0,36798.0,39270.0
88,laplap,single,idxvar-kloop,True,False,False,False,512,512,4,8,508,1,64,64,1,1,40814.0,40904.0,39957.0,42388.0
89,laplap,single,idxvar-kloop-sliced,True,False,False,False,512,512,4,8,508,1,256,64,1,4,54303.0,54210.0,52570.0,56779.0
90,laplap,single,naive,True,False,False,False,512,512,4,8,508,1,256,64,1,4,47083.0,47139.0,46073.0,48159.0
91,laplap,double,idxvar,False,False,False,False,512,512,4,8,508,1,256,64,1,4,37830.0,37476.0,34931.0,39639.0
92,laplap,double,idxvar,True,False,False,False,512,512,4,8,508,1,256,64,1,4,51589.0,51337.0,48319.0,55061.0
93,laplap,double,idxvar,True,True,False,False,512,512,4,8,508,1,256,64,1,4,52670.0,52213.0,48016.0,54968.0
94,laplap,double,idxvar,True,False,False,True,512,512,4,8,508,1,256,64,1,4,61890.0,61989.0,60212.0,63767.0
95,laplap,double,idxvar,True,True,False,True,512,512,4,8,508,1,256,64,1,4,60930.0,61193.0,59309.0,68871.0
96,laplap,double,idxvar,True,False,True,False,512,512,4,8,508,1,256,64,1,4,52285.0,51247.0,46202.0,54431.0
97,laplap,double,idxvar,True,False,True,True,512,512,4,8,508,1,256,64,1,4,49150.0,48995.0,45546.0,51830.0
98,laplap,double,idxvar,True,True,True,False,512,512,4,8,508,1,256,64,1,4,52706.0,52676.0,50126.0,55124.0
99,laplap,double,idxvar,True,True,True,True,512,512,4,8,508,1,256,64,1,4,51236.0,51211.0,49787.0,53645.0
100,laplap,double,idxvar-shared,True,False,False,False,512,512,4,8,508,1,256,64,1,4,53796.0,53758.0,51086.0,56638.0
101,laplap,double,idxvar-kloop,True,False,False,False,512,512,4,8,508,1,64,64,1,1,55982.0,55764.0,54032.0,57433.0
102,laplap,double,idxvar-kloop-sliced,True,False,False,False,512,512,4,8,508,1,256,64,1,4,69218.0,68968.0,67511.0,70477.0
103,laplap,double,naive,True,False,False,False,512,512,4,8,508,1,256,64,1,4,60312.0,60694.0,58290.0,62493.0
